Campo,Valor
Horas_Trabajadas,4.74
---,---
ID_Empleado,1013
Fecha,2025-06-22
Estado,presente
Horas_Trabajadas,8.08
---,---
ID_Empleado,1400
Fecha,2025-12-18
Estado,Presente
Horas_Trabajadas,6.43
---,---
ID_Empleado,1175
Fecha,2025-11-27
Estado,Presente
Horas_Trabajadas,5.42
---,---
ID_Empleado,1658
Fecha,2025-09-27
Estado,Vacaciones
Horas_Trabajadas,2.64
---,---
ID_Empleado,1185
Fecha,2025-11-22
Estado,Tarde
Horas_Trabajadas,3.5
---,---
ID_Empleado,1193
Fecha,2026-01-07
Estado,vacaciones 
Horas_Trabajadas,7.65
---,---
ID_Empleado,1840
Fecha,2026-03-26
Estado,presente
Horas_Trabajadas,7.97
---,---
ID_Empleado,1016
Fecha,2026-03-31
Estado,vacaciones 
Horas_Trabajadas,2.85
---,---
ID_Empleado,1042
Fecha,2026-01-21
Estado,Presente
Horas_Trabajadas,9.61
---,---
ID_Empleado,1510
Fecha,2025-08-07
Estado,TARDE
Horas_Trabajadas,1.22
---,---
ID_Empleado,1139
Fecha,2025-10-28
Estado,Ausente
Horas_Trabajadas,9.64
---,---
ID_Empleado,1394
Fecha,2025-11-30
Estado,vacaciones 
Horas_Trabajadas,2.53
---,---
ID_Empleado,1718
Fecha,2025-10-12
Estado,ausente
Horas_Trabajadas,5.0
---,---
ID_Empleado,1480
Fecha,2026-05-05
Estado,Ausente
Horas_Trabajadas,11.94
---,---
ID_Empleado,1714
Fecha,2026-03-28
Estado,Vacaciones
Horas_Trabajadas,6.44
---,---
ID_Empleado,1800
Fecha,2025-07-07
Estado,presente
Horas_Trabajadas,9.87
---,---
ID_Empleado,1780
Fecha,2025-06-27
Estado,Ausente
Horas_Trabajadas,4.36
---,---
ID_Empleado,1679
Fecha,2026-04-24
Estado,Vacaciones
Horas_Trabajadas,10.91
---,---
ID_Empleado,1694
Fecha,2025-07-30
Estado,ausente
Horas_Trabajadas,3.81
---,---
ID_Empleado,1737
Fecha,2026-01-14
Estado,vacaciones 
Horas_Trabajadas,6.97
---,---
ID_Empleado,1504
Fecha,2025-09-23
Estado,TARDE
Horas_Trabajadas,4.98
---,---
ID_Empleado,1311
Fecha,2025-08-11
Estado,Ausente
Horas_Trabajadas,11.34
---,---
ID_Empleado,1224
Fecha,2025-08-27
Estado,Ausente
Horas_Trabajadas,4.63
---,---
ID_Empleado,1067
Fecha,2025-10-27
Estado,Ausente
Horas_Trabajadas,5.19
---,---
ID_Empleado,1439
Fecha,2026-04-17
Estado,vacaciones 
Horas_Trabajadas,4.89
---,---
ID_Empleado,1894
Fecha,2025-07-10
Estado,TARDE
Horas_Trabajadas,8.33
---,---
ID_Empleado,1893
Fecha,2025-07-05
Estado,Ausente
Horas_Trabajadas,6.57
---,---
ID_Empleado,1805
Fecha,2025-12-13
Estado,Ausente
Horas_Trabajadas,7.18
---,---
ID_Empleado,1876
Fecha,2025-10-15
Estado,TARDE
Horas_Trabajadas,8.27
---,---
ID_Empleado,1361
Fecha,2026-05-26
Estado,vacaciones 
Horas_Trabajadas,7.93
---,---
ID_Empleado,1875
Fecha,2026-01-03
Estado,vacaciones 
Horas_Trabajadas,10.15
---,---
ID_Empleado,1221
Fecha,2026-05-03
Estado,vacaciones 
Horas_Trabajadas,11.77
---,---
ID_Empleado,1849
Fecha,2026-05-21
Estado,Ausente
Horas_Trabajadas,6.69
---,---
ID_Empleado,1246
Fecha,2026-04-27
Estado,Tarde
Horas_Trabajadas,1.32
---,---
ID_Empleado,1678
Fecha,2026-04-01
Estado,ausente
Horas_Trabajadas,6.2
---,---
ID_Empleado,1537
Fecha,2025-11-20
Estado,ausente
Horas_Trabajadas,1.05
---,---
ID_Empleado,1520
Fecha,2026-01-12
Estado,Ausente
Horas_Trabajadas,3.68
---,---
ID_Empleado,1791
Fecha,2025-07-27
Estado,vacaciones 
Horas_Trabajadas,9.49
---,---
ID_Empleado,1624
Fecha,2025-07-15
Estado,TARDE
Horas_Trabajadas,8.23
---,---
ID_Empleado,1664
Fecha,2026-06-12
Estado,Ausente
Horas_Trabajadas,4.31
---,---
ID_Empleado,1892
Fecha,2025-08-19
Estado,vacaciones 
Horas_Trabajadas,11.96
---,---
ID_Empleado,1707
Fecha,2025-10-21
Estado,Vacaciones
Horas_Trabajadas,10.53
---,---
ID_Empleado,1032
Fecha,2025-11-19
Estado,Vacaciones
Horas_Trabajadas,1.26
---,---
ID_Empleado,1741
Fecha,2026-04-10
Estado,Ausente
Horas_Trabajadas,4.51
---,---
ID_Empleado,1061
Fecha,2025-10-11
Estado,Vacaciones
Horas_Trabajadas,11.94
---,---
ID_Empleado,1032
Fecha,2025-12-06
Estado,Tarde
Horas_Trabajadas,6.85
---,---
ID_Empleado,1410
Fecha,2025-07-09
Estado,ausente
Horas_Trabajadas,2.82
---,---
ID_Empleado,1842
Fecha,2025-10-06
Estado,Presente
Horas_Trabajadas,1.56
---,---
ID_Empleado,1201
Fecha,2026-04-06
Estado,Ausente
Horas_Trabajadas,2.89
---,---
ID_Empleado,1776
Fecha,2026-05-14
Estado,TARDE
Horas_Trabajadas,7.24
---,---
ID_Empleado,1713
Fecha,2025-08-17
Estado,ausente
Horas_Trabajadas,5.92
---,---
ID_Empleado,1756
Fecha,2025-08-14
Estado,ausente
Horas_Trabajadas,10.98
---,---
ID_Empleado,1864
Fecha,2025-10-31
Estado,Vacaciones
Horas_Trabajadas,3.97
---,---
ID_Empleado,1807
Fecha,2026-06-11
Estado,Vacaciones
Horas_Trabajadas,8.34
---,---
ID_Empleado,1702
Fecha,2025-12-24
Estado,Presente
Horas_Trabajadas,3.66
---,---
ID_Empleado,1029
Fecha,2026-05-09
Estado,presente
Horas_Trabajadas,5.64
---,---
ID_Empleado,1343
Fecha,2025-11-17
Estado,Vacaciones
Horas_Trabajadas,2.21
---,---
ID_Empleado,1039
Fecha,2026-04-30
Estado,Tarde
Horas_Trabajadas,8.58
---,---
ID_Empleado,1651
Fecha,2026-04-21
Estado,Presente
Horas_Trabajadas,4.3
---,---
ID_Empleado,1351
Fecha,2025-08-18
Estado,Presente
Horas_Trabajadas,8.24
---,---
ID_Empleado,1575
Fecha,2025-10-10
Estado,presente
Horas_Trabajadas,4.43
---,---
ID_Empleado,1351
Fecha,2025-11-04
Estado,TARDE
Horas_Trabajadas,10.73
---,---
ID_Empleado,1142
Fecha,2026-01-30
Estado,ausente
Horas_Trabajadas,7.56
---,---
ID_Empleado,1790
Fecha,2026-06-15
Estado,TARDE
Horas_Trabajadas,10.07
---,---
ID_Empleado,1768
Fecha,2025-12-29
Estado,ausente
Horas_Trabajadas,7.82
---,---
ID_Empleado,1852
Fecha,2025-12-26
Estado,Vacaciones
Horas_Trabajadas,3.07
---,---
ID_Empleado,1816
Fecha,2026-04-30
Estado,presente
Horas_Trabajadas,2.23
---,---
ID_Empleado,1244
Fecha,2026-03-07
Estado,Vacaciones
Horas_Trabajadas,7.34
---,---
ID_Empleado,1281
Fecha,2025-09-10
Estado,Tarde
Horas_Trabajadas,5.41
---,---
ID_Empleado,1189
Fecha,2026-06-18
Estado,ausente
Horas_Trabajadas,9.99
---,---
ID_Empleado,1152
Fecha,2025-07-02
Estado,vacaciones 
Horas_Trabajadas,10.25
---,---
ID_Empleado,1389
Fecha,2025-11-28
Estado,Tarde
Horas_Trabajadas,9.87
---,---
ID_Empleado,1352
Fecha,2026-03-30
Estado,presente
Horas_Trabajadas,8.61
---,---
ID_Empleado,1536
Fecha,2025-07-23
Estado,Vacaciones
Horas_Trabajadas,6.46
---,---
ID_Empleado,1541
Fecha,2026-06-03
Estado,TARDE
Horas_Trabajadas,7.09
---,---
ID_Empleado,1693
Fecha,2025-12-17
Estado,Vacaciones
Horas_Trabajadas,4.83
---,---
ID_Empleado,1350
Fecha,2026-02-27
Estado,presente
Horas_Trabajadas,3.85
---,---
ID_Empleado,1774
Fecha,2026-04-16
Estado,vacaciones 
Horas_Trabajadas,11.74
---,---
ID_Empleado,1817
Fecha,2026-01-13
Estado,presente
Horas_Trabajadas,7.43
---,---
ID_Empleado,1331
Fecha,2025-09-21
Estado,presente
Horas_Trabajadas,1.86
---,---
ID_Empleado,1681
Fecha,2025-07-09
Estado,Ausente
Horas_Trabajadas,4.78
---,---
ID_Empleado,1366
Fecha,2026-05-18
Estado,Vacaciones
Horas_Trabajadas,9.31
---,---
ID_Empleado,1225
Fecha,2025-10-11
Estado,ausente
Horas_Trabajadas,8.68
---,---
ID_Empleado,1783
Fecha,2025-09-12
Estado,vacaciones 
Horas_Trabajadas,2.49
---,---
ID_Empleado,1190
Fecha,2025-12-16
Estado,presente
Horas_Trabajadas,5.57
---,---
ID_Empleado,1204
Fecha,2026-04-04
Estado,TARDE
Horas_Trabajadas,5.86
---,---
ID_Empleado,1394
Fecha,2026-02-11
Estado,presente
Horas_Trabajadas,11.97
---,---
ID_Empleado,1143
Fecha,2025-06-23
Estado,presente
Horas_Trabajadas,8.35
---,---
ID_Empleado,1850
Fecha,2026-02-01
Estado,ausente
Horas_Trabajadas,5.12
---,---
ID_Empleado,1433
Fecha,2025-07-25
Estado,Tarde
Horas_Trabajadas,9.37
---,---
ID_Empleado,1263
Fecha,2026-03-28
Estado,presente
Horas_Trabajadas,2.91
---,---
ID_Empleado,1434
Fecha,2025-09-01
Estado,Presente
Horas_Trabajadas,6.65
---,---
ID_Empleado,1538
Fecha,2025-09-30
Estado,presente
Horas_Trabajadas,6.62
---,---
ID_Empleado,1802
Fecha,2026-05-17
Estado,ausente
Horas_Trabajadas,5.31
---,---
ID_Empleado,1014
Fecha,2026-05-26
Estado,Presente
Horas_Trabajadas,5.66
---,---
ID_Empleado,1239
Fecha,2025-12-23
Estado,presente
Horas_Trabajadas,7.64
---,---
ID_Empleado,1441
Fecha,2025-07-17
Estado,TARDE
Horas_Trabajadas,1.22
---,---
ID_Empleado,1864
Fecha,2025-09-25
Estado,TARDE
Horas_Trabajadas,11.15
---,---
ID_Empleado,1612
Fecha,2025-10-14
Estado,Vacaciones
Horas_Trabajadas,11.45
---,---
ID_Empleado,1446
Fecha,2025-10-04
Estado,ausente
Horas_Trabajadas,11.35
---,---
ID_Empleado,1318
Fecha,2026-01-06
Estado,Vacaciones
Horas_Trabajadas,1.36
---,---
ID_Empleado,1337
Fecha,2025-08-18
Estado,Tarde
Horas_Trabajadas,11.09
---,---
ID_Empleado,1128
Fecha,2026-02-23
Estado,vacaciones 
Horas_Trabajadas,5.85
---,---
ID_Empleado,1692
Fecha,2026-01-02
Estado,presente
Horas_Trabajadas,11.42
---,---
ID_Empleado,1778
Fecha,2026-01-14
Estado,TARDE
Horas_Trabajadas,4.08
---,---
ID_Empleado,1234
Fecha,2026-03-16
Estado,Presente
Horas_Trabajadas,4.39
---,---
ID_Empleado,1352
Fecha,2026-03-19
Estado,presente
Horas_Trabajadas,8.23
---,---
ID_Empleado,1665
Fecha,2026-02-25
Estado,Tarde
Horas_Trabajadas,1.63
---,---
ID_Empleado,1378
Fecha,2026-02-16
Estado,TARDE
Horas_Trabajadas,5.41
---,---
ID_Empleado,1375
Fecha,2026-01-04
Estado,Presente
Horas_Trabajadas,10.45
---,---
ID_Empleado,1148
Fecha,2026-06-01
Estado,Tarde
Horas_Trabajadas,9.64
---,---
ID_Empleado,1243
Fecha,2026-01-31
Estado,presente
Horas_Trabajadas,3.71
---,---
ID_Empleado,1135
Fecha,2026-04-28
Estado,ausente
Horas_Trabajadas,4.98
---,---
ID_Empleado,1379
Fecha,2026-03-02
Estado,ausente
Horas_Trabajadas,5.16
---,---
ID_Empleado,1189
Fecha,2026-06-11
Estado,presente
Horas_Trabajadas,2.21
---,---
ID_Empleado,1339
Fecha,2025-07-10
Estado,Ausente
Horas_Trabajadas,7.5
---,---
ID_Empleado,1766
Fecha,2026-05-23
Estado,Ausente
Horas_Trabajadas,7.92
---,---
ID_Empleado,1198
Fecha,2026-03-01
Estado,presente
Horas_Trabajadas,6.73
---,---
ID_Empleado,1724
Fecha,2025-07-28
Estado,TARDE
Horas_Trabajadas,8.12
---,---
ID_Empleado,1254
Fecha,2026-03-05
Estado,vacaciones 
Horas_Trabajadas,10.71
---,---
ID_Empleado,1381
Fecha,2025-09-03
Estado,TARDE
Horas_Trabajadas,11.07
---,---
ID_Empleado,1086
Fecha,2025-06-28
Estado,Presente
Horas_Trabajadas,8.54
---,---
ID_Empleado,1876
Fecha,2026-04-11
Estado,Tarde
Horas_Trabajadas,8.31
---,---
ID_Empleado,1599
Fecha,2025-09-21
Estado,ausente
Horas_Trabajadas,6.32
---,---
ID_Empleado,1694
Fecha,2025-10-14
Estado,presente
Horas_Trabajadas,4.53
---,---
ID_Empleado,1417
Fecha,2025-11-06
Estado,Tarde
Horas_Trabajadas,8.52
---,---
